adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh
North Kordofan,SD13,SD13029,Gharb Bara,6454,1196
North Kordofan,SD13,SD13030,Ar Rahad,28640,5652
Northern,SD17,SD17014,Halfa,52705,10541
Northern,SD17,SD17015,Delgo,43840,8768
Northern,SD17,SD17016,Al Burgaig,39514,7902
Northern,SD17,SD17017,Dongola,50041,10582
Northern,SD17,SD17018,Al Golid,40380,8076
Northern,SD17,SD17019,Ad Dabbah,67780,13532
Northern,SD17,SD17020,Merwoe,67798,13656
Red Sea,SD10,SD10064,Port Sudan,114664,22905
Red Sea,SD10,SD10065,Tawkar,350,70
Red Sea,SD10,SD10067,Jubayt Elma'aadin,135,27
Red Sea,SD10,SD10068,Sawakin,885,177
Red Sea,SD10,SD10070,Haya,2875,575
Red Sea,SD10,SD10071,Sinkat,3995,799
River Nile,SD16,SD16008,Abu Hamad,63451,12766
River Nile,SD16,SD16009,Al Matama,85777,17171
River Nile,SD16,SD16010,Shendi,137629,27427
River Nile,SD16,SD16011,Ad Damar,134600,26950
River Nile,SD16,SD16012,Atbara,90740,18022
River Nile,SD16,SD16013,Barbar,8191,1638
River Nile,SD16,SD16014,Al Buhaira,56520,11304
Sennar,SD14,SD14037,Abu Hujar,51560,10272
Sennar,SD14,SD14038,Sennar,55293,11018
Sennar,SD14,SD14039,Ad Dali,24105,4821
Sennar,SD14,SD14040,Ad Dinder,59916,11989
Sennar,SD14,SD14041,As Suki,50114,9976
Sennar,SD14,SD14042,Sharg Sennar,45295,9059
Sennar,SD14,SD14043,Sinja,39128,7795
South Darfur,SD03,SD03143,Ed Al Fursan,7310,1462
South Darfur,SD03,SD03144,Kas,53540,10708
South Darfur,SD03,SD03145,Mershing,23050,4610
South Darfur,SD03,SD03146,Um Dafoug,2725,545
South Darfur,SD03,SD03147,Sharg Aj Jabal,23470,4694
South Darfur,SD03,SD03149,Tulus,18375,3675
South Darfur,SD03,SD03150,Al Wihda,7325,1465
South Darfur,SD03,SD03151,Nitega,6240,1248
South Darfur,SD03,SD03156,As Sunta,5300,1060
South Darfur,SD03,SD03157,Kubum,5025,1005
South Darfur,SD03,SD03158,Rehaid Albirdi,4000,800
South Darfur,SD03,SD03159,Kateila,3650,730
South Darfur,SD03,SD03161,Buram,17000,3400
South Darfur,SD03,SD03162,Beliel,119233,23845
South Darfur,SD03,SD03166,As Salam - SD,10600,2120
South Darfur,SD03,SD03167,Nyala Janoub,203575,40715
South Darfur,SD03,SD03172,Damso,2750,550
South Kordofan,SD07,SD07088,Abu Jubayhah,8970,1674
South Kordofan,SD07,SD07089,Talawdi,2013,402
South Kordofan,SD07,SD07090,Abassiya,15572,2928
South Kordofan,SD07,SD07093,Ar Rashad,5028,1073
South Kordofan,SD07,SD07094,Al Quoz,1965,362
South Kordofan,SD07,SD07095,Dilling,8673,1941
South Kordofan,SD07,SD07097,Ar Reif Ash Shargi,21610,4322
South Kordofan,SD07,SD07098,Kadugli,10864,1949
South Kordofan,SD07,SD07103,Habila - SK,7924,1647
South Kordofan,SD07,SD07104,Abu Kershola,6779,1265
South Kordofan,SD07,SD07105,Al Leri,1230,186
South Kordofan,SD07,SD07106,At Tadamon - SK,1120,200
South Kordofan,SD07,SD07107,Delami,1420,284
South Kordofan,SD07,SD07108,Ghadeer,2460,480
West Darfur,SD04,SD04115,Ag Geneina,16495,3299
West Darfur,SD04,SD04121,Foro Baranga,3900,780
West Darfur,SD04,SD04123,Jebel Moon,36165,7233
West Darfur,SD04,SD04127,Kulbus,29560,5912
West Darfur,SD04,SD04134,Sirba,25875,5175
West Kordofan,SD18,SD18021,Ghubaish,5263,1121
West Kordofan,SD18,SD18022,An Nuhud,7456,1320
West Kordofan,SD18,SD18028,Abu Zabad,8173,1606
West Kordofan,SD18,SD18029,Wad Bandah,4453,828
West Kordofan,SD18,SD18085,Keilak,1208,207
West Kordofan,SD18,SD18086,As Salam - WK,5621,1257
West Kordofan,SD18,SD18087,Abyei,3053,570
West Kordofan,SD18,SD18092,As Sunut,1286,278
West Kordofan,SD18,SD18100,Babanusa,3750,753
West Kordofan,SD18,SD18102,Al Lagowa,1656,263
West Kordofan,SD18,SD18103,Al Dibab,7124,1421
West Kordofan,SD18,SD18104,Al Idia,3809,637
West Kordofan,SD18,SD18105,Al Khiwai,3147,641
West Kordofan,SD18,SD18106,Al Meiram,1268,269
White Nile,SD09,SD09044,Ad Diwaim,62992,12727
White Nile,SD09,SD09045,Um Rimta,17612,3519
White Nile,SD09,SD09046,Rabak,22086,4499
White Nile,SD09,SD09047,Kosti,18119,3616
White Nile,SD09,SD09048,Tendalti,17528,3478
White Nile,SD09,SD09049,As Salam / Ar Rawat,44734,8945
White Nile,SD09,SD09050,Al Gitaina,29510,5897
White Nile,SD09,SD09051,Aj Jabalain,72741,14548
White Nile,SD09,SD09052,Guli,27998,5082
