adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
North Darfur,SD02,SD02126,Kelemando,150,30,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02126,Kelemando,150,30,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02126,Kelemando,50,10,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02126,Kelemando,100,20,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02126,Kelemando,90,18,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02119,At Tawisha,75,15,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02169,Al lait,650,130,North Darfur,SD02,SD02114,Al Fasher
North Darfur,SD02,SD02169,Al lait,940,188,Khartoum,SD01,SD01007,Khartoum
North Darfur,SD02,SD02169,Al lait,90,18,South Darfur,SD03,SD03167,Nyala Janoub
South Darfur,SD03,SD03167,Nyala Janoub,30000,6000,South Darfur,SD03,SD03167,Nyala Janoub
South Darfur,SD03,SD03167,Nyala Janoub,20000,4000,South Darfur,SD03,SD03167,Nyala Janoub
South Darfur,SD03,SD03145,Mershing,5000,1000,South Darfur,SD03,SD03145,Mershing
South Darfur,SD03,SD03147,Sharg Aj Jabal,320,64,South Darfur,SD03,SD03145,Mershing
South Darfur,SD03,SD03144,Kas,5000,1000,South Darfur,SD03,SD03167,Nyala Janoub
South Darfur,SD03,SD03162,Beliel,7000,1400,South Darfur,SD03,SD03167,Nyala Janoub
South Darfur,SD03,SD03161,Buram,4000,800,South Darfur,SD03,SD03167,Nyala Janoub
South Darfur,SD03,SD03156,As Sunta,3000,600,South Darfur,SD03,SD03167,Nyala Janoub
South Darfur,SD03,SD03158,Rehaid Albirdi,2000,400,South Darfur,SD03,SD03167,Nyala Janoub
South Darfur,SD03,SD03150,Al Wihda,7000,1400,South Darfur,SD03,SD03167,Nyala Janoub
South Darfur,SD03,SD03166,As Salam - SD,3000,600,South Darfur,SD03,SD03167,Nyala Janoub
South Darfur,SD03,SD03166,As Salam - SD,2500,500,South Darfur,SD03,SD03167,Nyala Janoub
South Darfur,SD03,SD03162,Beliel,1000,200,South Darfur,SD03,SD03167,Nyala Janoub
East Darfur,SD05,SD05142,Ad Du'ayn,4080,816,South Darfur,SD03,SD03167,Nyala Janoub
East Darfur,SD05,SD05142,Ad Du'ayn,1020,204,South Darfur,SD03,SD03167,Nyala Janoub
Central Darfur,SD06,SD06138,Zalingi,250,50,Central Darfur,SD06,SD06138,Zalingi
Central Darfur,SD06,SD06138,Zalingi,400,80,Central Darfur,SD06,SD06138,Zalingi
Central Darfur,SD06,SD06138,Zalingi,400,80,Central Darfur,SD06,SD06138,Zalingi
Central Darfur,SD06,SD06138,Zalingi,450,90,Central Darfur,SD06,SD06138,Zalingi
Central Darfur,SD06,SD06137,Wadi Salih,280,56,Central Darfur,SD06,SD06137,Wadi Salih
West Darfur,SD04,SD04115,Ag Geneina,49200,9840,West Darfur,SD04,SD04115,Ag Geneina
West Darfur,SD04,SD04115,Ag Geneina,90075,18015,West Darfur,SD04,SD04115,Ag Geneina
West Darfur,SD04,SD04115,Ag Geneina,26575,5315,West Darfur,SD04,SD04115,Ag Geneina
West Darfur,SD04,SD04115,Ag Geneina,26645,5329,West Darfur,SD04,SD04115,Ag Geneina
West Darfur,SD04,SD04115,Ag Geneina,42220,8444,West Darfur,SD04,SD04115,Ag Geneina
West Darfur,SD04,SD04115,Ag Geneina,13910,2782,West Darfur,SD04,SD04115,Ag Geneina
North Kordofan,SD13,SD13029,Gharb Bara,260,52,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13029,Gharb Bara,350,70,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13024,Sheikan,540,93,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13024,Sheikan,159,28,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13024,Sheikan,239,42,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13024,Sheikan,200,37,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13024,Sheikan,359,63,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13024,Sheikan,140,27,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13024,Sheikan,290,51,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13024,Sheikan,299,70,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13024,Sheikan,348,61,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13024,Sheikan,250,36,Khartoum,SD01,SD01001,Jebel Awlia
North Kordofan,SD13,SD13024,Sheikan,309,54,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13024,Sheikan,199,35,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13024,Sheikan,86,15,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13024,Sheikan,97,17,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13030,Ar Rahad,175,35,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13030,Ar Rahad,180,35,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13030,Ar Rahad,145,28,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13030,Ar Rahad,135,25,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13030,Ar Rahad,246,47,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13030,Ar Rahad,155,33,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13030,Ar Rahad,232,45,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13030,Ar Rahad,114,23,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13030,Ar Rahad,110,25,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13030,Ar Rahad,433,73,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13030,Ar Rahad,134,24,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13030,Ar Rahad,121,20,Khartoum,SD01,SD01001,Jebel Awlia
North Kordofan,SD13,SD13030,Ar Rahad,89,18,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13030,Ar Rahad,132,23,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13030,Ar Rahad,190,34,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13030,Ar Rahad,0,0,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13030,Ar Rahad,28,6,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13030,Ar Rahad,212,42,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13030,Ar Rahad,223,45,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13027,Gebrat Al Sheikh,161,37,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13027,Gebrat Al Sheikh,132,28,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13027,Gebrat Al Sheikh,143,32,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13027,Gebrat Al Sheikh,65,12,Khartoum,SD01,SD01005,Karrari
North Kordofan,SD13,SD13027,Gebrat Al Sheikh,125,26,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13027,Gebrat Al Sheikh,112,22,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13027,Gebrat Al Sheikh,131,27,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13023,Um Rawaba,98,23,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13023,Um Rawaba,115,23,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13023,Um Rawaba,47,9,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13023,Um Rawaba,214,42,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13023,Um Rawaba,120,23,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13023,Um Rawaba,355,63,Khartoum,SD01,SD01004,Sharg An Neel
North Kordofan,SD13,SD13023,Um Rawaba,148,29,Khartoum,SD01,SD01004,Sharg An Neel
North Kordofan,SD13,SD13023,Um Rawaba,68,13,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13023,Um Rawaba,335,54,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13023,Um Rawaba,50,11,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13023,Um Rawaba,511,87,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13023,Um Rawaba,154,31,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13023,Um Rawaba,329,59,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13023,Um Rawaba,218,42,Khartoum,SD01,SD01004,Sharg An Neel
North Kordofan,SD13,SD13023,Um Rawaba,277,43,Khartoum,SD01,SD01004,Sharg An Neel
North Kordofan,SD13,SD13023,Um Rawaba,0,0,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13023,Um Rawaba,0,0,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13029,Gharb Bara,184,28,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13029,Gharb Bara,74,11,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13029,Gharb Bara,37,7,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13029,Gharb Bara,172,26,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13029,Gharb Bara,70,13,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13029,Gharb Bara,77,14,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13029,Gharb Bara,154,32,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13029,Gharb Bara,47,9,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13029,Gharb Bara,304,50,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13029,Gharb Bara,405,66,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13029,Gharb Bara,113,15,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13029,Gharb Bara,113,15,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13029,Gharb Bara,106,15,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13029,Gharb Bara,203,50,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13029,Gharb Bara,83,19,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13029,Gharb Bara,196,31,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13029,Gharb Bara,292,50,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13029,Gharb Bara,112,20,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13029,Gharb Bara,258,40,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13030,Ar Rahad,114,21,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13030,Ar Rahad,30,5,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13030,Ar Rahad,37,7,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13030,Ar Rahad,0,0,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13030,Ar Rahad,22,4,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13030,Ar Rahad,72,13,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13030,Ar Rahad,0,0,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13030,Ar Rahad,43,8,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13030,Ar Rahad,0,0,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13026,Bara,88,16,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13026,Bara,112,23,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13026,Bara,136,25,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13026,Bara,70,14,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13026,Bara,104,21,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13026,Bara,99,19,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13026,Bara,80,17,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13026,Bara,65,12,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13026,Bara,134,28,North Kordofan,SD13,SD13024,Sheikan
North Kordofan,SD13,SD13024,Sheikan,148,26,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13024,Sheikan,286,47,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13024,Sheikan,112,18,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13024,Sheikan,74,13,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13025,Soudari,77,25,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13025,Soudari,569,100,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13025,Soudari,190,35,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13025,Soudari,250,50,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13025,Soudari,108,20,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13025,Soudari,17,3,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13025,Soudari,61,10,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13025,Soudari,39,7,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13025,Soudari,64,12,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13025,Soudari,69,12,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13025,Soudari,160,20,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13025,Soudari,19,5,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13025,Soudari,69,13,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13025,Soudari,114,13,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13025,Soudari,55,8,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13025,Soudari,23,4,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,231,42,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,44,9,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,370,67,Khartoum,SD01,SD01003,Bahri
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,280,53,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,78,15,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,230,44,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,24,4,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,27,5,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,57,11,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,20,5,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,66,13,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,23,4,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13028,Um Dam Haj Ahmed,390,76,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13023,Um Rawaba,428,69,Khartoum,SD01,SD01002,Um Bada
North Kordofan,SD13,SD13023,Um Rawaba,37,7,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13023,Um Rawaba,26,6,Khartoum,SD01,SD01006,Um Durman
North Kordofan,SD13,SD13023,Um Rawaba,93,17,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13029,Gharb Bara,214,26,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13029,Gharb Bara,21,5,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13030,Ar Rahad,389,65,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13030,Ar Rahad,114,20,Khartoum,SD01,SD01001,Jebel Awlia
North Kordofan,SD13,SD13030,Ar Rahad,56,12,Khartoum,SD01,SD01007,Khartoum
North Kordofan,SD13,SD13023,Um Rawaba,72,16,Khartoum,SD01,SD01001,Jebel Awlia
North Kordofan,SD13,SD13024,Sheikan,40,7,Khartoum,SD01,SD01001,Jebel Awlia
South Kordofan,SD07,SD07095,Dilling,65,20,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,25,9,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,48,15,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,15,5,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,12,3,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,40,15,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,37,14,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,22,9,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,17,6,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,15,4,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,80,20,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,122,39,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,65,21,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,80,20,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,120,31,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,15,7,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,15,9,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07095,Dilling,7,3,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07103,Habila - SK,66,14,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07103,Habila - SK,124,26,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07103,Habila - SK,135,28,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07103,Habila - SK,55,13,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07103,Habila - SK,43,11,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07103,Habila - SK,86,21,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07103,Habila - SK,229,45,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07103,Habila - SK,163,37,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07090,Abassiya,48,15,Khartoum,SD01,SD01002,Um Bada
South Kordofan,SD07,SD07090,Abassiya,292,65,Khartoum,SD01,SD01002,Um Bada
South Kordofan,SD07,SD07090,Abassiya,128,26,Khartoum,SD01,SD01002,Um Bada
South Kordofan,SD07,SD07090,Abassiya,10,1,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07090,Abassiya,255,58,Khartoum,SD01,SD01002,Um Bada
South Kordofan,SD07,SD07090,Abassiya,108,22,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07090,Abassiya,19,2,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07090,Abassiya,170,34,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07090,Abassiya,110,22,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,103,18,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,13,3,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,125,25,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,27,7,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,79,16,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,128,30,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,19,5,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,43,11,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,5,1,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,159,41,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,18,5,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,412,73,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,33,7,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,83,16,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,3,1,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,91,30,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,9,3,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,83,17,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,124,32,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,11,3,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,86,19,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,6,1,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,57,9,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,31,7,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,17,4,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,133,33,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,425,85,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,38,10,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,100,26,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,15,4,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,29,8,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,7,2,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,82,21,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,9,2,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07093,Ar Rashad,40,9,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,41,11,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,13,3,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,29,7,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,27,8,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07093,Ar Rashad,3,1,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07104,Abu Kershola,333,63,Khartoum,SD01,SD01006,Um Durman
South Kordofan,SD07,SD07104,Abu Kershola,403,86,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07104,Abu Kershola,171,39,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07104,Abu Kershola,166,29,Khartoum,SD01,SD01006,Um Durman
South Kordofan,SD07,SD07104,Abu Kershola,38,9,North Kordofan,SD13,SD13024,Sheikan
South Kordofan,SD07,SD07104,Abu Kershola,142,27,Khartoum,SD01,SD01006,Um Durman
South Kordofan,SD07,SD07104,Abu Kershola,142,26,Khartoum,SD01,SD01006,Um Durman
South Kordofan,SD07,SD07104,Abu Kershola,134,33,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07104,Abu Kershola,202,41,Khartoum,SD01,SD01007,Khartoum
South Kordofan,SD07,SD07104,Abu Kershola,81,19,Khartoum,SD01,SD01007,Khartoum
